name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Hanford-Corcoran, CA Metro Area",281400,68540,56893,52353,234,234,828,687,2557,152515,98589,23105,2670,28151
"Hannibal, MO Micro Area",148700,62527,17653,15761,18,0,537,229,1108,38881,27766,10730,76,309
"Harrisburg-Carlisle, PA Metro Area",226100,76189,292938,239625,2724,913,9441,4355,35880,593318,419739,118170,12550,42859
"Harrison, AR Micro Area",158600,52078,18635,16383,4,11,369,105,1763,44905,26270,17833,294,508
"Harrisonburg, VA Metro Area",265900,66823,64921,56103,431,529,2793,469,4596,135689,80683,38153,3032,13821
"Hartford-East Hartford-Middletown, CT Metro Area",288800,89371,612625,498980,14156,1043,12821,5722,79903,1215703,700613,293483,57875,163732
"Hastings, NE Micro Area",166300,61502,15172,13828,3,18,455,174,694,31143,23556,5592,120,1875
"Hattiesburg, MS Metro Area",160200,55078,76354,69812,357,129,904,3280,1872,172176,124498,42044,1835,3799
"Hays, KS Micro Area",199100,59665,16473,14304,3,10,1048,171,937,28921,22287,5689,104,841
"Heber, UT Micro Area",740800,114857,39644,30302,588,99,604,702,7349,77533,35857,33486,1412,6778
"Helena, MT Micro Area",334300,72168,41377,33801,142,342,1764,538,4790,83760,44076,37537,552,1595
"Helena-West Helena, AR Micro Area",74100,37458,5529,5074,21,3,131,53,247,16373,13240,2955,0,178
"Henderson, NC Micro Area",133000,48340,17668,15751,3,0,240,177,1497,42492,31147,8909,221,2215
"Hereford, TX Micro Area",107500,51942,8286,7658,57,0,42,288,241,18585,13232,2234,44,3075
"Hermiston-Pendleton, OR Micro Area",232400,69901,38210,34564,225,124,999,387,1911,92044,40178,41348,757,9761
"Hickory-Lenoir-Morganton, NC Metro Area",172700,57943,164225,151048,277,120,1330,2347,9103,366031,255306,89162,2870,18693
"Hillsdale, MI Micro Area",159000,59425,19694,16800,81,95,831,209,1678,45698,34260,10749,126,563
"Hilo, HI Micro Area",454900,74238,87270,74042,700,238,1757,1496,9037,202163,110566,61938,3680,25979
"Hilton Head Island-Bluffton, SC Metro Area",364800,77536,96625,83076,679,354,1758,986,9772,218515,68210,129319,3910,17076
"Hinesville, GA Metro Area",158800,55427,37072,33524,93,128,694,619,2014,82354,32584,39995,4762,5013
"Hobbs, NM Micro Area",162000,65855,30122,28441,40,10,373,254,1004,73103,33110,26252,788,12953
"Holland, MI Micro Area",225000,75543,56188,50130,158,99,910,751,4140,120189,96864,18790,870,3665
"Homosassa Springs, FL Metro Area",190800,52569,48459,41719,59,107,372,883,5319,155173,48487,96081,2205,8400
"Hood River, OR Micro Area",492500,80254,12605,9324,88,152,922,151,1968,23965,9846,10206,234,3679
"Hope, AR Micro Area",93800,44423,10743,10441,87,1,61,20,133,28329,18043,8812,167,1307
"Hot Springs, AR Metro Area",166600,54229,41090,37381,137,1,654,676,2241,100021,55531,40024,608,3858
"Houghton, MI Micro Area",131600,52857,17149,12966,373,219,1775,288,1528,39502,28837,8246,231,2188
"Houma-Thibodaux, LA Metro Area",175600,62443,87328,80071,459,7,1313,2410,3068,206082,179037,20967,1423,4655
"Houston-The Woodlands-Sugar Land, TX Metro Area",253600,78061,3359720,2850532,56669,8635,38050,59493,346341,7142603,3874198,1458003,122048,1688354
"Hudson, NY Micro Area",283700,81741,29002,22189,764,129,1229,622,4069,61469,43445,13198,721,4105
"Huntingdon, PA Micro Area",169000,61300,18037,15693,21,0,979,297,1047,44123,37437,5910,327,449
"Huntington, IN Micro Area",134000,59894,17611,15984,4,37,363,135,1088,36699,28694,7306,108,591
